constituency,district,votes_polled,winner_candidate,winner_party,winner_votes,winner_votes_diff_from_runner,runner_candidate,runner_party,runner_votes,runner_votes_diff_from_winner,second_runner,second_runner_party,second_runner_votes,second_runner_diff_from_winner,third_runner,third_runner_party,third_runner_votes,third_runner_diff_from_winner
Attur,,208296,JAYASANKARAN. A.P.,ADMK,80843,15318,SELVABHARATHI. R.,TVK,65525,-15318,ARTHANARI. S.K.,INC,51896,-28947,MONISHA CHINNADURAI.,NTK,6532,-74311
Avadi,,346005,R.RAMESH KUMAR,TVK,180384,76311,S.M.NASAR,DMK,104073,-76311,RAJASIMHA MAHENDRA,BJP,39605,-140779,PUNITHA SHANMUGAM,NTK,16335,-164049
Avanashi,,231600,KAMALI.S,TVK,84209,15373,DR. L. MURUGAN,BJP,68836,-15373,DR. GOKILAMANI.V,DMK,65530,-18679,MENAKA. V,NTK,7704,-76505
Bargur,,213960,E.C. GOVINDARASAN,ADMK,71240,4241,E. MURALIDHARAN,TVK,66999,-4241,D. MATHIAZHAGAN,DMK,65228,-6012,KAVINKUMAR. S,NTK,5462,-65778
Bhavani,,208323,KARUPPANAN. K.C,ADMK,75577,7396,BALAKRISHNAN,TVK,68181,-7396,CHANDRASEKAR. K.A,DMK,54087,-21490,MOHANADEVI. R,NTK,6195,-69382
Bhavanisagar,,214595,V.P.TAMILSELVI,TVK,72391,4569,A.BANNARI,ADMK,67822,-4569,P.L.SUNDARAM,CPI,63107,-9284,S.SOUNDARYA,NTK,5832,-66559
Bhuvanagiri,,207310,ARUNMOZHITHEVAN . A,ADMK,75707,2487,SARAVANAN. DURAI . K,DMK,73220,-2487,MAHALINGAM . T,TVK,49904,-25803,SUMATHI . S,NTK,5105,-70602
Bodinayakkanur,,220628,PANNEERSELVAM.O,DMK,85206,6805,PRAKASH.S,TVK,78401,-6805,NARAYANASAMY V.T.,ADMK,41286,-43920,KALAIARASU.S,NTK,11455,-73751
Chengalpattu,,324010,S. THIYAGARAJAN,TVK,137136,35641,KARTHIKDHANDAPANI,DMK,101495,-35641,M.GAJENDRAN,ADMK,69763,-67373,AMUTHA.N,NTK,12032,-125104
Chengam,,242897,S.VELU,ADMK,87802,13278,K BHARATHIDHASAN,TVK,74524,-13278,M.P.GIRI,DMK,70346,-17456,J.SHOBA,NTK,6335,-81467
Chepauk,,140741,UDHAYANIDHI STALIN,DMK,62992,7140,SELVAM. D,TVK,55852,-7140,AADIRAJARAM,ADMK,16507,-46485,AYSHA,NTK,2971,-60021
Cheyyar,,222570,MUKKUR N. SUBRAMANIAN,ADMK,86680,21081,DUSI K MOHAN,TVK,65599,-21081,JOTHI. O,DMK,59894,-26786,TAMILSELVAN. M,NTK,7043,-79637
Cheyyur,,187584,RAJASEKAR. E,ADMK,63809,5668,MOHAN RAJA.M.G.K,TVK,58141,-5668,SINTHANAI SELVAN,VCK,57909,-5900,SWATHILAKSHMI SEKAR,NTK,4853,-58956
Chidambaram,,196586,THAMIMUN ANSARI. M,DMK,69739,5747,PANDIAN. K.A,ADMK,63992,-5747,NEDUNCHEZHIYAN,TVK,54584,-15155,THAMIZH,NTK,6169,-63570
Coimbatore North,,226109,V. SAMPATHKUMAR,TVK,92500,21992,DURAI. SENTHAMIL SELVAN B.E,DMK,70508,-21992,VANATHI SRINIVASAN,BJP,49722,-42778,NARMADHA. G.,NTK,9036,-83464
Coimbatore South,,156499,V SENTHILBALAJI,DMK,59724,2271,V. SENTHILKUMAR,TVK,57453,-2271,AMMAN K.ARJUNAN,ADMK,31689,-28035,PERARIVALAN. V,NTK,5062,-54662
Coonoor,,141394,M. RAJU,DMK,50470,8099,A. RAMU,ADMK,42371,-8099,C. THANGARAJU,TVK,42225,-8245,K. DEENU,NTK,4695,-45775
Cuddalore,,190378,B.RAJKUMAR,TVK,70856,15519,A.S.CHANDARASEKARAN,INC,55337,-15519,M.C.SAMPATH,ADMK,55258,-15598,S.SARASU,NTK,5766,-65090
Cumbum,,210574,JEGANATHMISHRA PLA,TVK,85394,751,ERAMAKRISHNAN N,DMK,84643,-751,JAKKAIYAN S.T.K.,ADMK,27307,-58087,ANBUSELVI A,NTK,9599,-75795
Dharapuram,,199944,SATHYABAMA.P,ADMK,81100,16727,INDIRANI.T,DMK,64373,-16727,GOWRI CHITRA,TVK,46438,-34662,DHIVYA,NTK,6026,-75074
Dharmapuri,,238579,SOWMIYA ANBUMANI,PMK,93713,20896,SIVAN. M.,TVK,72817,-20896,DR. ELANGOVAN. V.,DMDK,56905,-36808,SHANTHALAKSHMI. K.,NTK,6758,-86955
